,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
230,2477,50,3420.0,342.0,342.0,342.0,2394.0,4,11.5,11.5,11.5,11.5,29.3940063839,1.10588461419,19.017249983,7.183590754630001,0.102769538693,23.310818645599998,17.282026143099998
231,1002,60,3600.0,360.0,360.0,360.0,2520.0,12,12.0,12.0,12.0,12.0,29.4247418585,0.9811509245469999,19.8699722074,7.295292951760001,0.104367567264,24.293547179,18.118941976800002
232,2981,50,3420.0,342.0,342.0,342.0,2394.0,12,9.5,9.5,9.5,9.5,29.4649959206,1.09015697188,19.0411114579,6.92783357262,0.09911063766270001,22.9328267753,17.628974916300002
233,645,55,2880.0,288.0,1152.0,288.0,1152.0,12,4.3,17.2,4.3,17.2,29.4972447429,1.20050438918,17.727429305999998,9.674018074600001,0.138397969594,16.1197892727,20.9863316496
234,189,50,3060.0,306.0,306.0,306.0,2142.0,4,11.5,11.5,11.5,11.5,29.592620476500002,1.16222397394,18.6651575311,6.565513815040001,0.09392723626669999,25.308064184099997,16.6849635184
235,713,50,3240.0,324.0,324.0,324.0,2268.0,4,11.5,11.5,11.5,11.5,29.9821003961,1.2121055844700002,18.9711525605,6.944483322050001,0.0993488315029,23.0015883166,17.48747408
236,2729,50,3420.0,342.0,342.0,342.0,2394.0,8,10.5,10.5,10.5,10.5,30.0178034431,1.12556207652,19.7391010039,7.002875700720001,0.100184201727,24.0370386329,17.5905941506
237,1170,50,1980.0,198.0,198.0,198.0,1386.0,4,11.5,11.5,11.5,11.5,30.047889687399998,1.17057728794,19.42389792,6.021660215780001,0.08614678420289999,25.5606827913,15.011653655
238,2484,55,3420.0,342.0,1368.0,342.0,1368.0,4,5.1,20.4,5.1,20.4,30.169661212199998,1.19373147324,17.6769893349,11.0270091954,0.15775406574200002,14.686158063699999,24.416481261399998
239,136,50,2700.0,675.0,675.0,675.0,675.0,12,9.5,9.5,9.5,9.5,30.212541955,1.281426443,18.4072031411,8.434747884139998,0.12066878232,12.937882755699999,17.478549374500002
240,441,50,3060.0,306.0,306.0,306.0,2142.0,8,10.5,10.5,10.5,10.5,30.2364021175,1.2029852150700002,19.2760379324,6.770449538359999,0.09685907780200001,24.745189202800002,16.374813730899998
241,74,60,1620.0,162.0,162.0,648.0,648.0,28,8.0,8.0,8.0,8.0,30.2787828647,1.15432677111,19.561758274200002,5.98095677674,0.0855644746315,15.1260945327,11.621119378
242,344,50,2160.0,216.0,216.0,216.0,1512.0,4,11.5,11.5,11.5,11.5,30.2930722495,1.20435093427,19.5811480587,6.339123010900001,0.0906884550916,27.7510354721,15.247430556300001
243,437,50,2520.0,504.0,756.0,504.0,756.0,24,5.2,7.8,5.2,7.8,30.294430703699998,1.21182668426,19.1053749013,8.21828554259,0.117572039236,13.069022370699999,17.0603791161
244,354,85,2160.0,216.0,864.0,216.0,864.0,28,5.7,22.8,5.7,22.8,30.357121262,0.956696347893,21.3840222352,7.8246379091,0.111940456496,21.0883143772,17.9024536973
245,670,50,2520.0,252.0,252.0,252.0,1764.0,8,10.5,10.5,10.5,10.5,30.383467204200002,1.2550811585500001,18.8039136053,6.68654592998,0.09565874005689999,26.553117982399996,15.8893657053
246,647,55,2880.0,576.0,864.0,576.0,864.0,12,8.6,12.9,8.6,12.9,30.547299643200002,1.2381590454200002,18.7287973875,9.528709995089999,0.136319170173,15.5819346145,20.2087294529
247,446,55,3060.0,765.0,765.0,765.0,765.0,8,11.75,11.75,11.75,11.75,30.583379211999997,1.22237786448,18.812556113,9.81587904295,0.140427454119,17.437015018900002,23.1787780284
248,1241,60,3240.0,324.0,324.0,324.0,2268.0,12,12.0,12.0,12.0,12.0,30.6019546279,1.05963863234,20.3500030431,7.5597413076999995,0.108150805546,22.8168535829,17.452945238399998
249,388,50,2700.0,675.0,675.0,675.0,675.0,16,8.5,8.5,8.5,8.5,30.6367307218,1.31027880456,18.4397117856,8.632214109380001,0.12349376408299999,12.622344868099999,18.1507876627
250,214,50,3420.0,342.0,342.0,342.0,2394.0,16,8.5,8.5,8.5,8.5,30.672020158800002,1.093000468,20.4048636505,6.7551790899,0.09664061645069999,25.816298339899998,17.461235239
251,968,60,2700.0,270.0,270.0,270.0,1890.0,4,14.0,14.0,14.0,14.0,30.789322007,1.0824696351799998,20.3841572691,7.286472605669999,0.104241382055,22.8447917452,17.3910395123
