cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
160,3800.0,380.0,1140.0,2280.0,8,50.16,50.16,50.16,88.7840377625,1.5452174624,69.3868717997,25.0397421273,0.35822234803,92.3394414068,65.311577739
160,3800.0,380.0,1140.0,2280.0,8,15.2,45.6,91.2,48.9824841621,1.16187523653,33.2011495771,18.8970374535,0.270343883455,42.537261852,47.1724204207
160,3800.0,2280.0,1140.0,380.0,8,50.16,50.16,50.16,50.7496185826,0.961208830731,38.8041307041,19.8795922065,0.284400460751,55.8578494866,45.7450479561
160,3800.0,2280.0,1140.0,380.0,8,91.2,45.6,15.2,22.932460538,0.434649145178,18.0126523563,11.985998825,0.17147351681,28.9167666855,23.2668600634
160,3800.0,1900.0,1520.0,380.0,8,50.16,50.16,50.16,29.297174626,0.539077621485,23.1281133568,14.3113416577,0.204740224001,30.496739258,30.9079494188
160,3800.0,1900.0,1520.0,380.0,8,76.0,60.8,15.2,20.1236365015,0.382561940052,16.0383213053,11.8303750974,0.169247140162,27.1153835864,22.7438433202
160,3800.0,1330.0,1330.0,1140.0,8,50.16,50.16,50.16,34.7929827511,0.718493585325,26.5524147508,15.7279280157,0.225006123258,33.9940548452,35.459235351
160,3800.0,1330.0,1330.0,1140.0,8,53.2,53.2,45.6,51.89388347,0.987670108671,40.9042188697,18.363688538,0.26271371299,54.2506181857,49.4616901788
160,3800.0,3040.0,380.0,380.0,8,50.16,50.16,50.16,69.0405434481,1.19116832063,52.2902450604,24.113679427,0.344973954606,65.3913186783,56.8946785327
160,3800.0,3040.0,380.0,380.0,8,121.6,15.2,15.2,16.6746991281,0.279834418798,12.9909829723,8.4654687763,0.121108280062,26.9536683198,12.8036778236
160,3800.0,760.0,1520.0,1520.0,8,50.16,50.16,50.16,47.4409324701,0.972610322259,36.418176678,18.1552179286,0.259731300838,49.1599945622,44.2198027859
160,3800.0,760.0,1520.0,1520.0,8,30.4,60.8,60.8,45.1507555302,1.01841289838,33.7450709139,17.9477999952,0.256763948429,42.0030284677,43.4851132335
160,3800.0,1520.0,1520.0,760.0,8,50.16,50.16,50.16,41.7330654062,0.837487389432,32.2276969738,17.2398320178,0.246635651184,45.3590832806,42.1839404086
160,3800.0,1520.0,1520.0,760.0,8,60.8,60.8,30.4,23.7978254588,0.455559763053,18.7305279722,12.5907636889,0.180125374662,27.3524249458,26.1784224727
160,3800.0,1140.0,2280.0,380.0,8,50.16,50.16,50.16,25.8892214561,0.433574404771,21.3719492285,13.2822930372,0.190018498387,30.3403014958,29.0690078542
160,3800.0,1140.0,2280.0,380.0,8,45.6,91.2,15.2,18.6370281319,0.355427461866,15.0892173266,11.2325373731,0.16069438302,27.9092979039,20.1204966372
