cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
70,7600.0,2660.0,2660.0,2280.0,8,21.7,21.7,18.6,76.9922887409,2.19678483882,51.6244004865,36.3780424346,0.520429791625,50.4064162625,83.6234267597
70,7600.0,6080.0,760.0,760.0,8,20.46,20.46,20.46,73.0761703294,1.95695583428,49.0892231756,30.8151005327,0.440845501183,56.5537484205,67.6931876925
70,7600.0,6080.0,760.0,760.0,8,49.6,6.2,6.2,48.8725177387,1.53239159423,26.6053671397,28.3618942198,0.405749559653,36.7444983256,59.6866558081
70,7600.0,1520.0,3040.0,3040.0,8,20.46,20.46,20.46,94.4820379566,2.46369258311,65.882698952,38.9160688193,0.556739181964,61.8428624642,95.7193550735
70,7600.0,1520.0,3040.0,3040.0,8,12.4,24.8,24.8,79.4026579344,2.28438834624,52.7686158572,35.2320880158,0.504035593931,57.8125833176,83.3063047936
70,7600.0,3040.0,3040.0,1520.0,8,20.46,20.46,20.46,76.3325323831,2.18356544881,49.7951815879,38.7992356417,0.555067748808,42.2397037637,92.2749869438
70,7600.0,3040.0,3040.0,1520.0,8,24.8,24.8,12.4,72.8021263452,1.94033284217,49.7008254886,35.6258863096,0.50966933204,53.3791656771,81.6952673819
70,7600.0,2280.0,4560.0,760.0,8,20.46,20.46,20.46,36.6886666501,1.05613514633,24.2156796846,24.7098290411,0.35350256139,22.0258784129,50.4262549337
70,7600.0,2280.0,4560.0,760.0,8,18.6,37.2,6.2,59.9266695709,1.49626472274,42.5697498851,33.9593718125,0.485827922925,56.5327447126,78.7282335724
80,7600.0,760.0,2280.0,4560.0,8,23.76,23.76,23.76,111.695460068,2.55104156827,81.512118519,33.0316047382,0.472555146469,105.277811076,77.7854192889
80,7600.0,760.0,2280.0,4560.0,8,7.2,21.6,43.2,79.7046755026,2.23662641441,50.5943588927,32.6118955259,0.466550722831,56.2899145849,83.4205961906
80,7600.0,4560.0,2280.0,760.0,8,23.76,23.76,23.76,66.5645901002,1.67377029765,44.9257738999,33.2021460688,0.474994936606,46.7049693308,74.2613979741
80,7600.0,4560.0,2280.0,760.0,8,43.2,21.6,7.2,52.5197995023,1.44709173878,33.0475973824,31.5976185874,0.452040323139,40.668948163,66.8031309109
80,7600.0,3800.0,3040.0,760.0,8,23.76,23.76,23.76,79.8010755317,2.0715038743,55.4671536775,39.858242061,0.570218055236,46.650400458,93.2475280983
80,7600.0,3800.0,3040.0,760.0,8,36.0,28.8,7.2,55.1506934099,1.48213267506,36.3095809083,33.0100097613,0.472246205455,41.358846768,72.9264599951
80,7600.0,2660.0,2660.0,2280.0,8,23.76,23.76,23.76,76.3451951949,2.01505956681,52.4864554413,35.9555720026,0.514385865559,46.887736387,85.2952769262
80,7600.0,2660.0,2660.0,2280.0,8,25.2,25.2,21.6,74.2751732668,1.99615204005,50.1021664582,33.4305079197,0.478261915876,54.459344295,78.8757566009
80,7600.0,6080.0,760.0,760.0,8,23.76,23.76,23.76,72.5843826477,1.83739378563,50.2408503226,29.6919260649,0.424777196923,61.7713600871,66.2533439945
80,7600.0,6080.0,760.0,760.0,8,57.6,7.2,7.2,48.8850991062,1.54398708417,25.6227470686,28.7056707434,0.410667678732,33.4559417936,61.5015866597
80,7600.0,1520.0,3040.0,3040.0,8,23.76,23.76,23.76,93.0505561611,2.29156176816,65.7571633777,38.1426277697,0.54567421702,60.3802496961,94.3761832181
80,7600.0,1520.0,3040.0,3040.0,8,14.4,28.8,28.8,77.7318271955,2.04537495131,52.7583118606,34.5042171683,0.493622563209,54.1743417898,84.2544088506
80,7600.0,3040.0,3040.0,1520.0,8,23.76,23.76,23.76,71.8871167047,1.99369967163,47.584845834,38.3977474708,0.549323998152,36.3434436616,91.9447940122
80,7600.0,3040.0,3040.0,1520.0,8,28.8,28.8,14.4,72.4678281459,1.92198692339,50.0194084152,35.3077039505,0.505117366959,53.6396328597,82.1933198414
80,7600.0,2280.0,4560.0,760.0,8,23.76,23.76,23.76,38.2092560333,1.00304693761,26.1118343697,24.9940112386,0.357568115001,21.9747135021,50.8855442259
80,7600.0,2280.0,4560.0,760.0,8,21.6,43.2,7.2,52.3805734453,1.24149634592,38.1915660598,31.5460063554,0.451301950721,54.3939315179,68.1815720792
