cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
70,6460.0,1292.0,1938.0,1292.0,1938.0,8,22.32,24.8,14.88,89.8093461534,2.61515295972,58.0827892712,36.5469512547,0.52284622682,52.3421679845,83.2783785225
70,6460.0,646.0,1292.0,646.0,3876.0,8,20.46,20.46,20.46,56.6110611787,1.7509824991,36.1818463446,21.8556144638,0.312669734819,37.3447708608,45.1889650571
70,6460.0,646.0,1292.0,646.0,3876.0,8,29.76,12.4,19.84,57.5256978812,1.84092497755,34.9169091185,22.1979726401,0.317567562805,29.2294723209,46.4740478555
80,6460.0,1615.0,1615.0,1615.0,1615.0,8,23.76,23.76,23.76,100.859157429,2.72380114719,66.40806673,40.9818533394,0.586292608575,36.0616075511,99.6891309185
80,6460.0,1615.0,1615.0,1615.0,1615.0,8,21.6,36.0,14.4,92.7049173863,2.23708372295,64.0184170448,36.3561629751,0.52011678076,65.0923299176,86.5521207109
80,6460.0,646.0,2584.0,646.0,2584.0,8,23.76,23.76,23.76,90.7095382955,2.65217675428,59.6100389329,32.0331018509,0.458270412746,59.8756798844,72.4693765691
80,6460.0,646.0,2584.0,646.0,2584.0,8,34.56,14.4,23.04,89.848726462,2.87779072757,54.8505290378,32.9002920257,0.470676566891,37.608880616,74.7431957949
80,6460.0,1292.0,1938.0,1292.0,1938.0,8,23.76,23.76,23.76,109.220185035,2.89997117749,73.2801579983,40.8047985532,0.583759635954,43.7357474386,99.573784469
80,6460.0,1292.0,1938.0,1292.0,1938.0,8,25.92,28.8,17.28,86.6615263751,2.31990127459,57.6329326506,34.4623802957,0.493024038566,55.1462311814,80.6409415601
80,6460.0,646.0,1292.0,646.0,3876.0,8,23.76,23.76,23.76,54.616843423,1.56803802031,36.0138512093,21.3148861037,0.3049339929,36.0855690134,46.6454990009
80,6460.0,646.0,1292.0,646.0,3876.0,8,34.56,14.4,23.04,57.463858522,1.68616617929,36.3572114705,21.9327112534,0.313772693182,29.0177752306,47.7450101311
90,6460.0,1615.0,1615.0,1615.0,1615.0,8,27.06,27.06,27.06,78.164073793,1.93991402162,53.0357221849,35.1819720491,0.503318627312,30.4901352212,85.6328652185
90,6460.0,1615.0,1615.0,1615.0,1615.0,8,24.6,41.0,16.4,88.8656878918,2.06734720778,62.4106884035,35.276899627,0.504676675637,64.5555103176,85.6335242916
90,6460.0,646.0,2584.0,646.0,2584.0,8,27.06,27.06,27.06,90.4896072572,2.4700332763,59.7524812027,31.4802821126,0.450361689736,64.266986245,73.4106228758
90,6460.0,646.0,2584.0,646.0,2584.0,8,39.36,16.4,26.24,95.3215131903,2.81501547566,60.0334541678,33.0831543993,0.473292623738,46.3520095974,76.3201928322
90,6460.0,1292.0,1938.0,1292.0,1938.0,8,27.06,27.06,27.06,99.7475665582,2.61741080567,66.3629030112,39.5035032609,0.565143108168,44.4085348423,94.7479923639
90,6460.0,1292.0,1938.0,1292.0,1938.0,8,29.52,32.8,19.68,88.2611321699,2.23958655372,59.4643188727,34.3826853017,0.491883909896,54.3233880195,82.5946966281
90,6460.0,646.0,1292.0,646.0,3876.0,8,27.06,27.06,27.06,54.6558387254,1.47294641457,37.0078614389,21.8660404195,0.312818890121,42.5411283009,47.9244952968
90,6460.0,646.0,1292.0,646.0,3876.0,8,39.36,16.4,26.24,59.43586254,1.6643678347,37.5101393177,22.7115742073,0.324915224712,28.6447164592,49.6212195726
100,6460.0,1615.0,1615.0,1615.0,1615.0,8,30.36,30.36,30.36,109.141849833,2.62584882039,75.3198404081,39.8623825412,0.570277289573,40.6105284105,99.6973216166
100,6460.0,1615.0,1615.0,1615.0,1615.0,8,27.6,46.0,18.4,91.1168965852,2.09623691363,64.3738627658,35.2961673857,0.504952323115,67.1889583751,85.5083606714
100,6460.0,646.0,2584.0,646.0,2584.0,8,30.36,30.36,30.36,93.0022505441,2.41321142869,63.7411298865,31.1381965946,0.445467762441,62.2652153645,73.3197543146
100,6460.0,646.0,2584.0,646.0,2584.0,8,44.16,18.4,29.44,94.4110986934,2.66119566965,60.7356332183,32.0543757251,0.458574760016,47.0923691253,77.234367564
100,6460.0,1292.0,1938.0,1292.0,1938.0,8,30.36,30.36,30.36,107.355237257,2.61844306243,74.4230391143,39.1290115879,0.559785573503,44.0577942791,97.0553872908
100,6460.0,1292.0,1938.0,1292.0,1938.0,8,33.12,36.8,22.08,91.554910498,2.2575854637,62.9453842774,35.2413416471,0.504167977784,51.2991663733,86.289437477
100,6460.0,646.0,1292.0,646.0,3876.0,8,30.36,30.36,30.36,57.6858387535,1.45279033969,40.1377795056,21.5139647673,0.30778204245,42.6240298155,49.4395252176
100,6460.0,646.0,1292.0,646.0,3876.0,8,44.16,18.4,29.44,58.2563359328,1.50953592902,39.0139729096,22.2618817504,0.318481856229,34.2495226143,51.0852775305
110,6460.0,1615.0,1615.0,1615.0,1615.0,8,33.66,33.66,33.66,102.909238142,2.36398031314,71.5565004789,38.2990543006,0.547912078693,43.1128476177,95.9226000775
110,6460.0,1615.0,1615.0,1615.0,1615.0,8,30.6,51.0,20.4,91.8204820881,2.06615920404,65.7876181722,35.4168220066,0.506678426418,68.239520419,88.0454946607
110,6460.0,646.0,2584.0,646.0,2584.0,8,33.66,33.66,33.66,99.3035731441,2.49736704689,69.3992047921,31.2804360063,0.447502661035,68.7427583578,74.9244346737
110,6460.0,646.0,2584.0,646.0,2584.0,8,48.96,20.4,32.64,102.54073109,2.80326655248,67.8023193664,33.2508658142,0.475691928672,49.7011770662,78.6666485589
110,6460.0,1292.0,1938.0,1292.0,1938.0,8,33.66,33.66,33.66,108.436622423,2.49137569357,76.2395820858,38.0311378154,0.544079224828,47.207048926,96.8520712281
110,6460.0,1292.0,1938.0,1292.0,1938.0,8,36.72,40.8,24.48,95.9645967309,2.25952279188,66.4744889297,35.0728739647,0.501757853572,54.6419359199,88.2886886083
110,6460.0,646.0,1292.0,646.0,3876.0,8,33.66,33.66,33.66,65.1974853654,1.62818809642,45.3468268032,22.9906820106,0.32890818327,46.2343299572,53.4885015363
110,6460.0,646.0,1292.0,646.0,3876.0,8,48.96,20.4,32.64,64.2046434576,1.61141060442,44.0623698163,23.4683606556,0.335741926404,39.4216724797,53.5863499663
120,6460.0,1615.0,1615.0,1615.0,1615.0,8,36.96,36.96,36.96,110.513469818,2.54684315119,77.8781456652,38.7384971734,0.554198815071,44.0188253234,100.457279156
120,6460.0,1615.0,1615.0,1615.0,1615.0,8,33.6,56.0,22.4,93.5378021299,1.9705597787,67.4557812749,34.6052797762,0.495068380203,68.7662348064,88.7154179159
120,6460.0,646.0,2584.0,646.0,2584.0,8,36.96,36.96,36.96,97.8717984008,2.46919786981,67.7535500674,31.3286922846,0.44819302267,66.2523169314,75.8105387344
120,6460.0,646.0,2584.0,646.0,2584.0,8,53.76,22.4,35.84,107.678269426,2.78846472109,73.1909190877,32.2858628098,0.461886449353,54.2290756457,79.5117720117
120,6460.0,1292.0,1938.0,1292.0,1938.0,8,36.96,36.96,36.96,104.263840545,2.39445179986,73.0477035964,37.4693159279,0.536041715707,43.9710081971,96.4393170332
